date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,fips
2019-01-01,10,10,6,7,7,4,8,8,9,19,1022,12,0.0,0.0,8.3,6,87,2,28151
2019-01-02,6,6,1,0,0,4,3,4,10,142,1024,12,42.1,0.0,5.0,-1,77,1,28151
2019-01-03,11,11,5,6,6,4,8,9,9,51,1014,15,29.4,0.0,5.0,6,89,2,28151
2019-01-04,8,8,4,3,3,4,6,5,10,254,1011,20,7.6,0.0,5.0,4,84,2,28151
2019-01-05,13,13,2,6,6,4,7,8,5,242,1022,10,0.0,0.0,10.0,3,79,3,28151
2019-01-06,15,15,3,9,9,6,9,10,5,188,1023,10,0.0,0.0,10.0,5,79,3,28151
2019-01-07,16,16,10,13,13,5,13,14,10,208,1020,20,0.6,0.0,6.7,10,84,3,28151
2019-01-08,16,16,10,14,14,6,14,14,8,296,1023,17,0.2,0.0,8.3,10,77,3,28151
2019-01-09,9,9,3,6,6,6,7,7,7,233,1028,16,0.0,0.0,10.1,0,63,3,28151
2019-01-10,7,7,0,2,2,6,4,4,6,30,1028,11,0.0,0.0,10.1,-2,68,2,28151
2019-01-11,7,7,0,3,3,6,5,5,5,123,1024,10,0.0,0.0,10.1,0,71,2,28151
2019-01-12,10,10,7,8,8,5,9,9,8,170,1018,15,22.7,0.0,6.7,8,93,2,28151
2019-01-13,6,6,5,4,4,6,7,6,10,324,1025,14,0.1,0.0,5.0,4,84,2,28151
2019-01-14,7,7,2,3,3,6,5,5,6,121,1031,9,0.2,0.0,6.7,2,80,1,28151
2019-01-15,9,9,2,4,4,6,5,6,5,148,1028,4,0.0,0.0,10.1,2,82,3,28151
2019-01-16,12,12,1,6,6,6,7,8,6,195,1024,7,0.0,0.0,10.1,4,81,3,28151
2019-01-17,16,16,10,12,12,4,12,13,7,198,1020,14,4.6,0.0,5.1,10,87,3,28151
2019-01-18,17,17,8,14,14,5,14,13,6,160,1016,12,4.2,0.0,6.7,12,91,3,28151
2019-01-19,15,15,5,9,9,2,11,11,17,277,1010,30,49.5,0.0,5.1,8,81,3,28151
2019-01-20,1,1,-2,-4,-4,6,1,0,14,346,1026,16,0.0,0.0,10.2,-6,60,2,28151
2019-01-21,6,6,-4,-1,-1,6,2,2,7,121,1026,14,0.0,0.0,10.2,-4,67,2,28151
2019-01-22,13,13,5,7,7,4,10,10,15,143,1019,26,3.0,0.0,5.1,7,80,3,28151
2019-01-23,11,11,5,6,6,4,7,8,11,309,1017,22,47.6,0.0,5.1,6,88,2,28151
2019-01-24,7,7,0,1,1,6,4,4,8,303,1019,8,0.0,0.0,10.2,-1,74,2,28151
2019-01-25,3,3,-3,-2,-2,6,1,0,6,131,1028,8,0.0,0.0,10.2,-5,67,2,28151
2019-01-26,8,8,1,4,4,6,5,5,4,196,1025,8,0.3,0.0,6.7,1,75,2,28151
2019-01-27,11,11,1,5,5,6,6,6,6,258,1020,8,0.7,0.0,6.8,3,78,2,28151
2019-01-28,16,16,2,8,8,5,9,11,11,224,1014,16,4.4,0.0,10.0,4,75,4,28151
2019-01-29,1,1,-5,-4,-4,5,0,-2,10,121,1023,15,7.0,0.0,10.3,-6,67,2,28151
2019-01-30,5,5,-4,-3,-3,6,1,1,8,137,1026,9,0.0,0.0,10.0,-5,65,1,28151
2019-01-31,8,8,-3,3,3,6,5,5,8,159,1026,11,0.0,0.0,10.3,-1,70,2,28151
2019-02-01,15,15,6,9,9,6,11,11,6,94,1024,10,0.0,0.0,10.4,6,75,3,28151
2019-02-02,15,15,3,11,11,6,11,11,5,136,1021,8,0.0,0.0,8.5,8,84,3,28151
2019-02-03,17,17,9,14,14,4,14,15,6,185,1015,13,0.1,0.0,10.8,13,89,4,28151
2019-02-04,21,21,15,18,18,5,18,19,9,199,1012,15,1.2,0.0,5.4,16,86,4,28151
2019-02-05,22,22,18,19,19,5,20,20,9,187,1015,13,5.5,0.0,5.4,18,92,5,28151
2019-02-06,23,23,19,20,20,5,21,21,13,198,1015,22,3.9,0.0,5.4,19,90,5,28151
2019-02-07,22,22,20,19,19,5,20,21,16,207,1016,25,5.2,0.0,5.4,16,84,5,28151
2019-02-08,3,3,-2,-3,-3,6,2,1,14,14,1035,19,1.1,0.0,10.1,-6,56,1,28151
2019-02-09,6,6,-1,0,0,12,3,4,9,38,1034,16,0.0,0.0,10.9,-4,58,2,28151
2019-02-10,16,16,7,11,11,8,12,12,6,164,1025,12,0.0,0.0,5.5,7,74,3,28151
2019-02-11,19,19,13,17,17,7,17,17,10,193,1014,18,6.1,0.0,5.5,15,89,4,28151
2019-02-12,14,14,13,13,13,5,13,13,12,317,1016,18,68.8,0.0,10.1,7,67,3,28151
2019-02-13,13,13,1,8,8,8,9,9,5,190,1025,10,0.0,0.0,11.0,2,67,3,28151
2019-02-14,17,17,7,13,13,8,13,13,12,201,1015,25,0.1,0.0,10.1,9,79,4,28151
2019-02-15,18,18,13,17,17,6,17,16,11,197,1008,14,4.1,0.0,5.5,13,84,4,28151
2019-02-16,10,10,4,7,7,9,9,7,9,34,1010,12,1.5,0.0,5.5,5,79,2,28151
2019-02-17,16,16,10,12,12,5,13,13,7,342,1010,11,20.3,0.0,5.5,11,87,3,28151
