date,tempC,maxtempC,mintempC,WindChillC,FeelsLikeC,visibilityMiles,HeatIndexC,avgtempC,windspeedMiles,winddirDegree,pressure,WindGustMiles,precipMM,totalSnow_cm,sunHour,DewPointC,humidity,uvIndex,fips
2020-01-22,9,9,3,3,3,4,6,6,9,119,1021,14,30.2,0.0,5.2,5,87,2,48407
2020-01-23,17,17,10,14,14,5,15,16,7,311,1014,10,12.4,0.0,8.4,12,90,4,48407
2020-01-24,16,16,7,10,10,6,11,12,4,327,1021,7,0.0,0.0,10.3,5,71,4,48407
2020-01-25,16,16,6,10,10,6,11,12,5,144,1021,8,0.4,0.0,10.4,5,68,4,48407
2020-01-26,20,20,13,16,16,5,16,17,5,185,1015,8,9.7,0.0,5.2,14,92,4,48407
2020-01-27,21,21,10,15,15,4,16,16,4,102,1016,7,0.0,0.0,10.4,10,82,5,48407
2020-01-28,16,16,9,12,12,3,13,14,7,135,1012,11,11.0,0.0,5.2,12,94,3,48407
2020-01-29,14,14,7,8,8,6,10,10,8,321,1015,12,1.7,0.0,5.2,7,82,3,48407
2020-01-30,12,12,7,9,9,5,10,10,4,44,1019,6,0.3,0.0,6.8,8,86,2,48407
2020-01-31,14,14,7,9,9,5,10,11,4,225,1021,6,0.4,0.0,5.2,7,82,3,48407
2020-02-01,17,17,5,10,10,6,11,12,4,306,1024,6,0.0,0.0,10.5,3,67,4,48407
2020-02-02,22,22,9,14,14,6,16,16,5,225,1020,9,0.0,0.0,10.5,5,58,5,48407
2020-02-03,22,22,13,17,17,4,17,18,10,187,1013,16,0.6,0.0,6.8,13,80,4,48407
2020-02-04,25,25,17,20,20,5,21,22,8,199,1008,13,4.7,0.0,6.8,18,86,5,48407
2020-02-05,11,11,6,9,9,5,10,10,8,331,1008,13,15.1,0.0,5.5,8,87,3,48407
2020-02-06,9,9,3,2,2,6,5,6,9,307,1010,12,0.2,0.0,10.1,-2,64,2,48407
2020-02-07,19,19,2,9,9,6,10,11,5,228,1014,8,0.0,0.0,10.9,0,54,4,48407
2020-02-08,15,15,7,10,10,5,11,11,5,95,1021,9,0.0,0.0,8.5,6,73,3,48407
2020-02-09,20,20,13,17,17,4,17,18,8,156,1018,14,0.6,0.0,5.5,15,90,4,48407
2020-02-10,23,23,18,20,20,5,21,21,8,180,1015,13,22.3,0.0,5.5,19,93,5,48407
2020-02-11,14,14,10,12,12,4,12,13,6,131,1017,9,3.7,0.0,5.5,12,95,3,48407
2020-02-12,17,17,10,13,13,4,14,15,6,271,1012,10,15.8,0.0,5.5,13,96,4,48407
2020-02-13,14,14,6,7,7,6,8,9,7,120,1022,11,0.0,0.0,11.0,5,78,3,48407
2020-02-14,14,14,2,6,6,5,7,8,5,50,1029,8,0.0,0.0,11.1,2,74,3,48407
2020-02-15,17,17,4,9,9,6,10,11,5,141,1024,8,0.0,0.0,8.6,7,81,3,48407
2020-02-16,24,24,13,17,17,4,18,19,4,261,1017,6,1.0,0.0,10.1,14,84,4,48407
2020-02-17,24,24,16,19,19,4,20,20,6,182,1012,10,1.9,0.0,5.6,17,90,4,48407
2020-02-18,23,23,15,20,20,3,20,22,6,187,1016,10,11.6,0.0,7.2,18,92,5,48407
2020-02-19,13,13,5,11,11,5,12,13,6,45,1023,9,4.7,0.0,5.8,12,93,3,48407
2020-02-20,12,12,7,8,8,5,10,11,9,128,1026,14,12.1,0.0,5.8,8,90,3,48407
2020-02-21,11,11,2,4,4,6,6,7,6,19,1036,10,0.0,0.0,11.6,1,70,3,48407
2020-02-22,15,15,2,7,7,6,8,9,4,155,1030,7,0.0,0.0,11.6,1,64,3,48407
2020-02-23,17,17,8,12,12,6,12,14,6,155,1020,11,0.1,0.0,5.8,11,87,3,48407
2020-02-24,22,22,14,17,17,6,18,19,7,259,1010,11,5.5,0.0,5.8,13,78,4,48407
2020-02-25,20,20,10,14,14,6,14,16,5,229,1013,8,0.0,0.0,11.6,8,66,4,48407
2020-02-26,11,11,5,5,5,6,8,8,12,331,1026,16,0.0,0.0,11.6,-2,51,3,48407
2020-02-27,14,14,0,6,6,6,6,8,4,280,1030,6,0.0,0.0,11.6,-3,55,3,48407
2020-02-28,20,20,4,11,11,6,12,13,4,309,1028,7,0.0,0.0,11.6,1,55,4,48407
2020-02-29,21,21,8,14,14,6,15,16,6,175,1025,9,0.0,0.0,11.6,6,62,5,48407
2020-03-01,20,20,13,17,17,4,17,18,9,173,1016,15,0.9,0.0,5.9,14,83,4,48407
2020-03-02,25,25,16,19,19,4,20,21,7,202,1011,10,0.4,0.0,5.9,17,87,5,48407
2020-03-03,26,26,18,21,22,4,22,23,4,106,1009,6,0.5,0.0,8.7,19,87,5,48407
2020-03-04,21,21,13,17,17,4,18,19,7,64,1009,11,20.5,0.0,5.9,17,95,4,48407
2020-03-05,21,21,11,13,13,4,14,15,8,238,1021,12,1.3,0.0,8.8,9,75,3,48407
2020-03-06,19,19,10,12,12,6,13,15,7,26,1031,12,0.0,0.0,10.2,3,53,3,48407
2020-03-07,16,16,7,11,11,6,11,13,5,122,1030,8,0.0,0.0,11.6,4,64,3,48407
2020-03-08,18,18,7,12,12,6,13,14,7,147,1027,11,0.1,0.0,7.3,9,79,3,48407
2020-03-09,21,21,14,16,16,4,17,18,7,182,1023,12,2.3,0.0,7.4,15,87,4,48407
2020-03-10,25,25,16,20,20,5,21,21,3,199,1023,5,3.7,0.0,6.0,17,85,5,48407
2020-03-11,27,27,16,22,23,4,23,22,6,206,1019,10,0.1,0.0,8.8,17,81,5,48407
2020-03-12,28,28,17,21,23,4,23,23,8,195,1013,11,0.0,0.0,10.2,18,81,5,48407
2020-03-13,26,26,18,21,22,3,22,22,6,162,1016,9,0.3,0.0,7.4,18,87,5,48407
2020-03-14,26,26,20,22,23,5,23,23,8,169,1020,11,0.7,0.0,8.8,19,86,5,48407
2020-03-15,27,27,19,22,23,3,23,24,4,113,1023,6,5.6,0.0,7.4,20,87,5,48407
2020-03-16,25,25,17,20,20,5,21,21,5,152,1022,7,2.7,0.0,6.0,18,86,5,48407
2020-03-17,28,28,17,21,22,3,22,23,5,145,1019,8,6.9,0.0,7.4,18,85,5,48407
2020-03-18,26,26,18,22,23,3,23,23,8,167,1017,12,0.8,0.0,6.0,19,86,5,48407
2020-03-19,27,27,21,23,25,6,25,24,10,168,1017,14,0.4,0.0,8.8,20,83,5,48407
2020-03-20,21,21,17,20,20,4,22,21,6,37,1021,10,14.7,0.0,6.0,19,95,5,48407
2020-03-21,16,16,11,12,12,4,13,13,6,48,1026,9,11.2,0.0,6.1,12,92,3,48407
2020-03-22,26,26,15,19,19,3,19,19,4,109,1020,7,9.7,0.0,6.1,18,93,4,48407
2020-03-23,27,27,18,22,23,4,23,23,6,188,1017,10,2.6,0.0,7.5,20,88,5,48407
2020-03-24,27,27,20,23,25,5,25,24,7,217,1013,11,0.4,0.0,7.5,20,84,5,48407
2020-03-25,31,31,18,24,25,3,25,25,4,132,1013,6,0.2,0.0,11.6,18,77,7,48407
2020-03-26,29,29,18,23,25,3,25,25,8,173,1011,11,0.0,0.0,11.6,19,81,6,48407
2020-03-27,31,31,20,25,26,4,26,26,9,175,1009,13,0.0,0.0,11.6,19,79,7,48407
2020-03-28,27,27,14,21,23,6,23,23,8,246,1011,11,3.2,0.0,6.1,18,79,5,48407
2020-03-29,26,26,11,18,18,6,18,20,4,56,1019,7,0.2,0.0,11.6,10,62,4,48407
2020-03-30,27,27,15,20,20,6,21,21,7,139,1016,11,0.5,0.0,7.5,15,75,5,48407
2020-03-31,23,23,15,19,19,6,20,19,7,345,1014,11,1.6,0.0,10.2,15,81,4,48407
2020-04-01,22,22,9,15,15,4,16,17,5,139,1017,8,0.0,0.0,11.6,10,73,5,48407
2020-04-02,23,23,13,18,18,5,18,20,8,143,1015,12,0.1,0.0,7.5,14,82,4,48407
2020-04-03,23,23,17,20,20,5,20,20,6,125,1014,10,8.2,0.0,6.2,18,91,5,48407
2020-04-04,18,18,13,15,15,3,15,15,5,349,1016,8,7.2,0.0,6.2,15,95,4,48407
2020-04-05,27,27,14,19,19,3,20,21,3,89,1017,5,0.2,0.0,7.5,16,81,5,48407
2020-04-06,27,27,16,21,22,3,22,23,4,151,1016,6,3.2,0.0,6.2,18,86,5,48407
2020-04-07,32,32,20,25,28,3,28,27,5,222,1014,8,2.7,0.0,8.9,21,86,7,48407
2020-04-08,29,29,21,25,28,3,28,26,4,225,1011,7,6.6,0.0,6.2,22,88,6,48407
2020-04-09,33,33,21,26,29,4,29,28,4,289,1010,8,2.3,0.0,7.7,22,85,6,48407
2020-04-10,23,23,16,19,19,4,20,20,6,65,1016,9,4.1,0.0,10.3,14,75,5,48407
2020-04-11,23,23,12,18,18,5,18,19,7,131,1012,12,5.7,0.0,6.5,15,83,4,48407
2020-04-12,30,30,22,25,27,6,27,26,10,219,1002,15,2.5,0.0,9.0,17,72,6,48407
2020-04-13,19,19,7,13,13,6,15,13,9,237,1017,12,0.0,0.0,11.6,6,62,4,48407
2020-04-14,20,20,7,12,12,5,13,14,7,19,1019,10,0.0,0.0,11.6,7,69,4,48407
2020-04-15,20,20,5,12,12,6,13,14,5,135,1021,8,0.0,0.0,11.6,4,63,4,48407
2020-04-16,23,23,6,14,14,6,14,16,6,138,1021,9,0.0,0.0,11.6,7,66,5,48407
2020-04-17,25,25,14,19,19,3,20,22,5,162,1017,9,8.3,0.0,6.5,17,89,5,48407
2020-04-18,25,25,12,18,18,4,19,18,6,82,1016,9,1.7,0.0,6.5,16,89,4,48407
2020-04-19,25,25,18,23,24,3,24,24,7,194,1007,12,13.0,0.0,6.5,21,92,5,48407
2020-04-20,31,31,16,23,24,4,24,25,3,188,1010,5,0.2,0.0,11.6,17,78,6,48407
2020-04-21,29,29,17,23,24,4,24,25,5,151,1014,8,0.0,0.0,10.3,17,78,6,48407
2020-04-22,24,24,16,20,21,3,21,22,9,165,1009,15,18.3,0.0,6.5,21,95,5,48407
2020-04-23,27,27,19,23,25,5,25,24,7,328,1007,11,7.2,0.0,11.6,17,75,6,48407
2020-04-24,31,31,14,22,24,6,24,24,6,182,1008,10,1.9,0.0,11.6,15,71,6,48407
2020-04-25,26,26,14,20,20,4,21,21,6,350,1015,10,3.6,0.0,10.3,13,71,6,48407
2020-04-26,28,28,13,20,21,6,21,22,5,29,1021,8,0.0,0.0,11.6,11,62,6,48407
2020-04-27,27,27,14,20,21,6,21,23,8,161,1019,12,0.0,0.0,11.6,14,72,6,48407
2020-04-28,27,27,20,24,25,5,25,25,9,167,1014,14,7.8,0.0,7.8,21,86,5,48407
2020-04-29,27,27,16,22,24,5,24,23,8,346,1014,13,22.1,0.0,9.1,15,69,5,48407
2020-04-30,26,26,13,19,19,6,20,21,4,330,1019,7,0.0,0.0,11.6,11,60,6,48407
2020-05-01,27,27,14,20,21,6,21,23,6,174,1017,10,0.0,0.0,11.6,13,68,6,48407
2020-05-02,28,28,16,22,23,4,23,24,8,170,1017,12,0.0,0.0,10.4,18,79,6,48407
2020-05-03,30,30,18,24,25,4,25,25,8,174,1015,12,0.0,0.0,10.4,19,80,7,48407
2020-05-04,30,30,19,24,25,4,25,27,7,171,1012,11,0.0,0.0,11.6,20,80,7,48407
2020-05-05,30,30,20,24,26,4,26,26,6,227,1013,10,18.6,0.0,6.8,21,87,6,48407
2020-05-06,28,28,14,21,22,5,22,23,6,54,1020,9,5.1,0.0,11.6,11,60,6,48407
